policy,n,f2p4_t,f2p4_in_cluster,cluster_n_pairs,cluster_mass,p_cluster
FULL (all 47),47,-3.52388827950523,1,29,78.5118470859464,0.0002
WITHOUT sub-48,46,-3.4699426738631,1,27,74.6190350480196,0.0004
