contrast,metric,band,n,dz,t,p_freq,BF10,BF01,p_TOST,equivalent_at_0p4
d_cue,dwpli,gamma_low,47,0.10054447438855,0.689298188386767,0.494098167566633,0.198181276374896,5.04588535451916,0.0228944122968951,1
d_val,dwpli,gamma_low,47,-0.0863717843658851,-0.592135120832827,0.556659567791916,0.186906476578705,5.35026938768976,0.0184180267066515,1
d_int,dwpli,gamma_low,47,-0.1444980784428,-0.99062891622549,0.327049278076743,0.251080324345678,3.98278918352534,0.0432510739240063,1
d_cue,plv,gamma_low,47,0.0581214805552273,0.398460795550564,0.692134101115924,0.170724982661922,5.85737356307278,0.011732150615444,1
d_val,plv,gamma_low,47,-0.105386433955045,-0.722492990763763,0.473648759044756,0.202591103232693,4.93605091261789,0.0246273098130744,1
d_int,plv,gamma_low,47,0.0417325790943329,0.286104147854664,0.77608291091376,0.164621300372977,6.07454805504716,0.00893938331810674,1
d_cue,dwpli,gamma_high,47,-0.0612895577675439,-0.420180038665608,0.676310235824912,0.172166413690564,5.80833380079177,0.0123546584333868,1
d_val,dwpli,gamma_high,47,0.0311079727476635,0.213265516476669,0.832062259271964,0.161808029309491,6.18016302570065,0.00746587850347704,1
d_int,dwpli,gamma_high,47,0.0499945463078276,0.342745341390221,0.733351383611209,0.167421466964875,5.97294969473538,0.0102618999582715,1
d_cue,plv,gamma_high,47,-0.00805171591053071,-0.0551997832231521,0.956218359589553,0.158583979873774,6.30580718680383,0.00499937354881985,1
d_val,plv,gamma_high,47,-0.571133315093934,-3.91549273906603,0.000296543994458665,86.7617539814777,0.0115258158590649,0.876628696290474,0
d_int,plv,gamma_high,47,0.168542968067943,1.15547237440024,0.253863703668342,0.295791770993221,3.38075666081636,0.0597056922972721,0
