policy,contrast,metric,n,dz,t,p_freq,BF10,BF01,p_TOST,equivalent_at_0p4
ORIGINAL (RT_stat filter as pipeline ran it),d_cue,dwpli,47,-0.0612895577675439,-0.420180038665608,0.676310235824912,0.172166413690564,5.80833380079177,0.0123546584333868,1
ORIGINAL (RT_stat filter as pipeline ran it),d_val,dwpli,47,0.0311079727476635,0.213265516476669,0.832062259271964,0.161808029309491,6.18016302570065,0.00746587850347704,1
ORIGINAL (RT_stat filter as pipeline ran it),d_int,dwpli,47,0.0499945463078276,0.342745341390221,0.733351383611209,0.167421466964875,5.97294969473538,0.0102618999582715,1
ORIGINAL (RT_stat filter as pipeline ran it),d_cue,plv,47,-0.00805171591053071,-0.0551997832231521,0.956218359589553,0.158583979873774,6.30580718680383,0.00499937354881985,1
ORIGINAL (RT_stat filter as pipeline ran it),d_val,plv,47,-0.571133315093934,-3.91549273906603,0.000296543994458665,86.7617539814777,0.0115258158590649,0.876628696290474,0
ORIGINAL (RT_stat filter as pipeline ran it),d_int,plv,47,0.168542968067943,1.15547237440024,0.253863703668342,0.295791770993221,3.38075666081636,0.0597056922972721,0
RT_stat filter DISABLED for sub-01..04,d_cue,dwpli,47,-0.0542258216290037,-0.371753503511406,0.7117833970616,0.16907175180657,5.91464859927678,0.0110053046471589,1
RT_stat filter DISABLED for sub-01..04,d_val,dwpli,47,0.0122426322507397,0.0839312581108015,0.93347529172448,0.15888504983326,6.29385836521081,0.00538285948655932,1
RT_stat filter DISABLED for sub-01..04,d_int,dwpli,47,0.0517044792263828,0.354468050869691,0.724608021800266,0.168070395199529,5.94988783606312,0.0105567021099355,1
RT_stat filter DISABLED for sub-01..04,d_cue,plv,47,-0.00748074982803018,-0.0512854369729844,0.959320132380096,0.158552618193408,6.30705447437119,0.00494911793264974,1
RT_stat filter DISABLED for sub-01..04,d_val,plv,47,-0.571577510872856,-3.91853799190127,0.000293754442405536,87.5076171254807,0.0114275766253132,0.877231934339867,0
RT_stat filter DISABLED for sub-01..04,d_int,plv,47,0.156432635204878,1.07244811519518,0.289113057975981,0.271542032900089,3.68267111106125,0.0508742475310646,0
