term,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),148.164379359777,1,148.164379359777,4126.83838861179,6.53264273913605e-46,6.53264273913605e-46,6.53264273913605e-46,6.53264273913605e-46
Error,1.61561865121468,45,0.0359026366936596,1,0.5,0.5,0.5,0.5
(Intercept):cue,0.00240186658425377,1,0.00240186658425377,0.425633915911937,0.517458104153122,0.517458104153122,0.517458104153122,0.517458104153122
Error(cue),0.253936522092807,45,0.0056430338242846,1,0.5,0.5,0.5,0.5
(Intercept):valid,0.000566470734687352,1,0.000566470734687352,0.373006673689906,0.544442542156908,0.544442542156908,0.544442542156908,0.544442542156908
Error(valid),0.0683397506236647,45,0.00151866112497033,1,0.5,0.5,0.5,0.5
(Intercept):cue:valid,0.00496455850986531,1,0.00496455850986531,7.55968934011457,0.00856330307408197,0.00856330307408197,0.00856330307408197,0.00856330307408197
Error(cue:valid),0.0295521578854394,45,0.000656714619676431,1,0.5,0.5,0.5,0.5
