term,SumSq,DF,MeanSq,F,pValue,pValueGG,pValueHF,pValueLB
(Intercept),151.386205952568,1,151.386205952568,4310.27781549015,4.11321804953489e-47,4.11321804953489e-47,4.11321804953489e-47,4.11321804953489e-47
Error,1.61561870763689,46,0.0351221458181932,1,0.5,0.5,0.5,0.5
(Intercept):cue,0.00395071700584786,1,0.00395071700584786,0.693390921746472,0.409315971987002,0.409315971987002,0.409315971987002,0.409315971987002
Error(cue),0.262093108763615,46,0.00569767627746989,1,0.5,0.5,0.5,0.5
(Intercept):valid,0.000746078147242986,1,0.000746078147242986,0.498631553786582,0.483663301283293,0.483663301283293,0.483663301283293,0.483663301283293
Error(valid),0.0688275631827872,46,0.00149625137353885,1,0.5,0.5,0.5,0.5
(Intercept):cue:valid,0.00502250528709151,1,0.00502250528709151,7.81637540708835,0.00752964964255048,0.00752964964255048,0.00752964964255048,0.00752964964255048
Error(cue:valid),0.0295578488971619,46,0.000642561932546997,1,0.5,0.5,0.5,0.5
