subject,level,metric,d_val
sub-16,roi_avg,PLV,0.000440430624817372
sub-17,roi_avg,PLV,-0.00029976341777632
sub-18,roi_avg,PLV,0.00819453803869237
sub-19,roi_avg,PLV,-0.00416298499792995
sub-20,roi_avg,PLV,0.00344149675808242
sub-21,roi_avg,PLV,-9.05195886287764e-05
sub-22,roi_avg,PLV,-0.00189796906411853
sub-23,roi_avg,PLV,0.00242700421409458
sub-24,roi_avg,PLV,-0.000173443694358939
sub-25,roi_avg,PLV,-0.00137913389782262
sub-26,roi_avg,PLV,-0.00784649384953895
sub-27,roi_avg,PLV,-0.00476593403899064
sub-28,roi_avg,PLV,0.00224995382053201
sub-29,roi_avg,PLV,-0.0105122535858791
sub-30,roi_avg,PLV,-0.00250140819057088
sub-31,roi_avg,PLV,-0.00329517199216103
sub-32,roi_avg,PLV,-0.000747860720776526
sub-33,roi_avg,PLV,0.00110708953173953
sub-34,roi_avg,PLV,-0.00981174394293561
sub-35,roi_avg,PLV,-0.00239150422002669
sub-36,roi_avg,PLV,0.00219556068507336
sub-37,roi_avg,PLV,0.00434783278581796
sub-38,roi_avg,PLV,0.00429631459741244
sub-39,roi_avg,PLV,-0.00258891327502137
sub-40,roi_avg,PLV,0.00142552669529116
sub-41,roi_avg,PLV,-0.00109255949652353
sub-43,roi_avg,PLV,0.00530587588968687
sub-44,roi_avg,PLV,0.00634911995379386
sub-45,roi_avg,PLV,-0.000616161676223234
sub-46,roi_avg,PLV,-0.0112618349593666
sub-48,roi_avg,PLV,-0.0046231977569821
sub-49,roi_avg,PLV,0.00964025798341304
sub-50,roi_avg,PLV,0.000219408243878958
sub-01,F2P4,PLV,-0.000572170977130748
sub-02,F2P4,PLV,-0.00202886152255127
sub-03,F2P4,PLV,-0.00526147383379491
sub-04,F2P4,PLV,-0.00123198837382077
sub-05,F2P4,PLV,0.0329974839308513
sub-06,F2P4,PLV,0.00631103323397902
sub-07,F2P4,PLV,-0.00438949682702885
sub-09,F2P4,PLV,0.0157259528838708
sub-10,F2P4,PLV,-0.00513935360273499
sub-11,F2P4,PLV,0.0106313690914778
sub-12,F2P4,PLV,0.00471767257249761
sub-13,F2P4,PLV,0.00183931783024238
sub-14,F2P4,PLV,0.0240085512092849
sub-15,F2P4,PLV,0.045654853091451
sub-16,F2P4,PLV,0.00407390165923752
sub-17,F2P4,PLV,0.000408541633904275
sub-18,F2P4,PLV,0.00218425708653089
sub-19,F2P4,PLV,-0.00124566242159885
sub-20,F2P4,PLV,-0.00272698899686399
sub-21,F2P4,PLV,-0.000317470498095995
sub-22,F2P4,PLV,0.00221304041716266
sub-23,F2P4,PLV,0.00379331186772326
sub-24,F2P4,PLV,0.00547387721385184
sub-25,F2P4,PLV,0.00182205627572152
sub-26,F2P4,PLV,0.011214102616807
sub-27,F2P4,PLV,-0.0143274584080019
sub-28,F2P4,PLV,0.00474437220226845
sub-29,F2P4,PLV,-0.0201635402838709
sub-30,F2P4,PLV,-0.00422697496552066
sub-31,F2P4,PLV,0.0112179238173128
sub-32,F2P4,PLV,0.0016722922554448
sub-33,F2P4,PLV,0.00165381081663429
sub-34,F2P4,PLV,-0.029339154032693
sub-35,F2P4,PLV,-0.0119035625242817
sub-36,F2P4,PLV,-0.0217421090674913
sub-37,F2P4,PLV,-0.00450999520662071
sub-38,F2P4,PLV,0.021598560009611
sub-39,F2P4,PLV,-0.00459674615390396
sub-40,F2P4,PLV,0.00888281026004203
sub-41,F2P4,PLV,-0.00135302311929772
sub-43,F2P4,PLV,0.0144697660235976
sub-44,F2P4,PLV,0.0237088837553635
sub-45,F2P4,PLV,-0.000993583880402465
sub-46,F2P4,PLV,-0.0118921246230879
sub-48,F2P4,PLV,0.00247932906502918
sub-49,F2P4,PLV,0.00429178327893839
sub-50,F2P4,PLV,0.00515688428874075
sub-01,roi_avg,ImC,-0.00735693940889865
sub-02,roi_avg,ImC,-0.0114570474866624
sub-03,roi_avg,ImC,0.00191048248107509
sub-04,roi_avg,ImC,0.0171179545623973
sub-05,roi_avg,ImC,0.00100325913827665
sub-06,roi_avg,ImC,-0.00476022708113291
sub-07,roi_avg,ImC,-0.00580005208852907
sub-09,roi_avg,ImC,-0.00596993980395335
sub-10,roi_avg,ImC,-0.0149674951683636
sub-11,roi_avg,ImC,-0.0022545905212689
sub-12,roi_avg,ImC,-0.00700964918314651
sub-13,roi_avg,ImC,-0.00501536152147727
sub-14,roi_avg,ImC,-0.00283742206445186
sub-15,roi_avg,ImC,0.004005022580202
sub-16,roi_avg,ImC,-0.00895150062432532
sub-17,roi_avg,ImC,-0.00301467503027604
sub-18,roi_avg,ImC,-0.005873850159895
sub-19,roi_avg,ImC,-0.0104996571547688
sub-20,roi_avg,ImC,-0.00483072288831536
sub-21,roi_avg,ImC,-0.00601559724833442
sub-22,roi_avg,ImC,-0.0071321261316979
sub-23,roi_avg,ImC,0.00123941510344923
sub-24,roi_avg,ImC,-0.00937078520698344
sub-25,roi_avg,ImC,-0.00287285468936853
sub-26,roi_avg,ImC,0.000409921780444212
sub-27,roi_avg,ImC,0.000371092640693309
sub-28,roi_avg,ImC,-0.00370320068272051
sub-29,roi_avg,ImC,-0.0033860460137257
sub-30,roi_avg,ImC,-0.00382819612527425
sub-31,roi_avg,ImC,-0.00284970709208304
sub-32,roi_avg,ImC,0.00148718952051769
sub-33,roi_avg,ImC,0.00394341008978821
sub-34,roi_avg,ImC,-0.0190310762994147
sub-35,roi_avg,ImC,-0.00316950835733386
sub-36,roi_avg,ImC,-0.00427991570965878
sub-37,roi_avg,ImC,0.00347162295952024
sub-38,roi_avg,ImC,0.00213794658106617
sub-39,roi_avg,ImC,-0.00100002881385253
sub-40,roi_avg,ImC,0.00625719579325291
sub-41,roi_avg,ImC,-0.00992556396276236
sub-43,roi_avg,ImC,-0.00587432150774738
sub-44,roi_avg,ImC,0.00808799762542704
sub-45,roi_avg,ImC,-0.00267674894659912
sub-46,roi_avg,ImC,0.0186573121349032
sub-48,roi_avg,ImC,0.00517868895833735
sub-49,roi_avg,ImC,-0.00681069924183582
sub-50,roi_avg,ImC,-0.00276935225215902
sub-01,F2P4,ImC,-0.0274965394704206
sub-02,F2P4,ImC,0.014479992818316
sub-03,F2P4,ImC,-0.00261217355099728
sub-04,F2P4,ImC,-0.0241538828728679
sub-05,F2P4,ImC,-0.023749344568702
sub-06,F2P4,ImC,-0.0138319900448233
sub-07,F2P4,ImC,0.00636445498578481
sub-09,F2P4,ImC,-0.0530939177880751
sub-10,F2P4,ImC,-0.0163338788544601
sub-11,F2P4,ImC,-0.0218620158018121
sub-12,F2P4,ImC,0.0584801066016607
sub-13,F2P4,ImC,-0.0238260319563641
sub-14,F2P4,ImC,-0.0113647934899852
sub-15,F2P4,ImC,0.018625241470453
sub-16,F2P4,ImC,0.0124542635458301
sub-17,F2P4,ImC,-0.0287920284008497
sub-18,F2P4,ImC,-0.00287968025006357
sub-19,F2P4,ImC,-0.0302502134630415
sub-20,F2P4,ImC,0.0615633604218999
sub-21,F2P4,ImC,-0.0184360758258111
sub-22,F2P4,ImC,-0.0156732036794576
sub-23,F2P4,ImC,0.0308905475514586
sub-24,F2P4,ImC,0.0111103817222618
sub-25,F2P4,ImC,-0.0244587093508495
sub-26,F2P4,ImC,0.0134898062206244
sub-27,F2P4,ImC,0.00457161942565559
sub-28,F2P4,ImC,-0.011780703837808
sub-29,F2P4,ImC,-0.0207819277206094
sub-30,F2P4,ImC,-0.00518998094679243
sub-31,F2P4,ImC,0.00493807230792541
sub-32,F2P4,ImC,0.0249720898856537
sub-33,F2P4,ImC,0.0214691091662477
sub-34,F2P4,ImC,0.00655898655821622
sub-35,F2P4,ImC,-0.00866007717875469
sub-36,F2P4,ImC,-0.0282157904602321
sub-37,F2P4,ImC,0.0327512693292825
sub-38,F2P4,ImC,-0.00354628601715735
sub-39,F2P4,ImC,0.0177132589435228
sub-40,F2P4,ImC,0.00981087691049323
sub-41,F2P4,ImC,0.00673811841389113
sub-43,F2P4,ImC,-0.0361255378825336
sub-44,F2P4,ImC,0.00461258911818089
sub-45,F2P4,ImC,0.0628616767555683
sub-46,F2P4,ImC,0.0387873136412994
sub-48,F2P4,ImC,0.0332591313028994
sub-49,F2P4,ImC,-0.0103674080530275
sub-50,F2P4,ImC,-0.00301487529180354
